Kolo,Q#,Otázka,Typ Odpovědi,A,B,C,D,Správná odpověď,Zdroj
,2,"V jedné z nejbizarnějších kriminálních kauz české sportovní historie, fotbalovém korupčním skandálu z roku 2004, zlidověly díky policejním odposlechům žižkovského bosse Ivana Horníka tajné výrazy pro úplatky. Zatímco tisícikorunám se v lize běžně říkalo „kapříci“, pro částku 30 tisíc korun použil Horník měnu ze sadu, když do telefonu rozhodčímu sliboval takzvaný „třicetník...“. Jakého ovoce?",ABCD,Jablek,Hrušek,Švestek,Třešní,A,
,3,"Americký matematik Theodore Kaczynski terorizoval USA po téměř dvě desetiletí tím, že rozesílal podomácku vyrobené bomby poštou, často univerzitám nebo aerolinkám. Pod jakou přezdívkou, kterou mu dala FBI, vešel do dějin?",Written,,,,,Unabomber,
,4,"V roce 1985 děsil Prahu teprve šestnáctiletý sériový vrah Jiří Straka, který kvůli tehdejší masové sportovní akci získal přezdívku „spartakiádní vrah“. Jak zní přesný název aktuálního českého seriálu z platformy Voyo, který se věnuje jeho dopadení a navazuje na předchozí hit o případu Ladislava Hojera?",Written,,,,,Metoda Markovič: Straka,
,5,"Slavný mafiánský boss Al Capone nebyl nakonec uvězněn za vraždy nebo pašování alkoholu, ale za jeden úplně jiný zločin. Za jaký?",Written,,,,,Daňové úniky (krácení daní),
,6,"V roce 1971 unesl elegantně oblečený muž známý jako D. B. Cooper letadlo, získal výkupné 200 tisíc dolarů a následně vyskočil s padákem do noční bouře. Nikdy nebyl dopaden a případ zůstává jedním z nejslavnějších nevyřešených zločinů FBI. Jaká byla vůbec jediná hmatatelná stopa spojená s jeho útěkem, která se s odstupem let (v roce 1980) našla v přírodě?",ABCD,Jeho rozevřený padák zachycený ve větvích stromů na severozápadě USA.,"Část rozpadajících se bankovek z výkupného, které našel malý chlapec na břehu řeky.","Jeho typické černé sluneční brýle a polobotky, pohozené u lesní cesty.","Lidská kostra v obleku, u které se ale nepodařilo potvrdit DNA.",B,
,7,"V první polovině 90. let se takzvaný orlický gang zbavoval těl svých obětí tím, že je házel na dno přehrady Orlík. Přehrada je sice velmi rozlehlá, ale vrazi si pro shazování vybrali jeden konkrétní, velmi známý a vysoký ocelový most, ze kterého měli jistotu, že těla dopadnou do obrovské hloubky a už je nikdo nenajde. Jak se tento most jmenuje?",ABCD,Zvíkovský most,Cholínský most,Žďákovský most,Železniční most u Červené (Červenský most),C,
,8,"Simon Leviev, známý z hitového dokumentu Podvodník z Tinderu, lákal z žen po celé Evropě miliony dolarů. Aby je ohromil svým falešným bohatstvím a luxusním životním stylem, vydával se za syna miliardáře a dědice obřího impéria. S jakou komoditou měla jeho falešná rodinná firma (LLD) obchodovat?",ABCD,S ropou,Se zlatem,S kryptoměnami,S diamanty,D,
,9,"Nejznámější český trestanec Jiří Kajínek se proslavil v roce 2000, kdy se mu jako jednomu z mála podařilo uprchnout z jedné z nejpřísněji střežených věznic u nás. Z jaké věznice utekl?",Written,,,,,Z Mírova (Věznice Mírov),
,10,"Soudní proces s O. J. Simpsonem přinesl jeden z nejslavnějších citátů v historii americké justice. Obhájce Johnnie Cochran tehdy směrem k porotě pronesl: „If it doesn't fit, you must acquit“. O jaký předmět tehdy šlo?",Written,,,,,Kožená rukavice (stačí rukavice),
Kolo 3 - Olympiada,1,Ve kterém z těchto měst se OH nekonaly?,ABCD,Salt Lake City,Chicago,Los Angeles,Londýn,B,
,2,Norsko na letošní olympiádě získalo nejvíce medailí. Kolik jich bylo?,Numeric,,,,,41,
,3,Na kolikátém místě skončila na letošní olympiádě česká smíšená dvojice v curlingu?,Numeric,,,,,8,
,4,Který sportovec nasbíral za tuto olympiádu nejvíce medailí?,Written,,,,,"Johannes Hoesflot Klaebo (6 zlatých, Norsko)",
,5,"Jaký je světový rekord v hodu oštěpem Jana Železného z roku 1996, který ho drží dodnes?",Written,,,,,"98,48 m",
,6,V jakém městě se konaly první novodobé olympijské hry v roce 1896?,Written,,,,,Athény,
,7,Jaké zvíře překvapilo surfaře u Tahiti při OH 2024?,Written,,,,,Velryba,
,8,"Jak se jmenuje stadion, kde byly zahájeny OH 2026?",ABCD,San Siro Stadium,Allianz Stadium,Stadio Olimpico,Renato Dall'Ara Stadium,A,
,9,Na kterých OH byl poprvé stejný počet sportovců a sportovkyň?,Written,,,,,Paříž 2024,
,10,Který zcela nový sport přinesly OH 2026?,Written,,,,,Skialpinismus (ski mountaineering),
Kolo 4 - 10 nejčastějších jmen v Česku za rok 2024,1,Top 5 chlapčenských,Top5,,,,,Jakub,
,2,,,,,,,Matyáš,
,3,,,,,,,Jan,
,4,,,,,,,Adam,
,5,,,,,,,Matej,
,6,Top 5 dievčenských,Top5,,,,,Eliška,
,7,,,,,,,Viktorie,
,8,,,,,,,Sofie,
,9,,,,,,,Anna,
,10,,,,,,,Natálie,
Kolo 5 - Time Guesser,1,Kdy a kde? (město. ± 1 rok),Image,,,,,"Berlín, 1989",pad_BM2.webp
,2,Kdy a kde? (město. ± 1 rok),Image,,,,,"New York, 2001",9_11.jpeg
,3,Kdy a kde? (město. ± 1 rok),Image,,,,,"Praha, 1989",1989.jpg
,4,Kdy a kde? (město. ± 1 rok),Image,,,,,"Washington D.C, 2021",Capitol.avif
,5,Kdy a kde? (město. ± 1 rok),Image,,,,,"Rím, 2020",Lockdown.jpg
,6,Kdy a kde? (město. ± 1 rok),Image,,,,,Paříž 1944,1944paris.jpg
,7,Kdy a kde? (město. ± 1 rok),Image,,,,,Nay Pyi Taw 2021 (Myanmar),myanmar2021.png
,8,Kdy a kde? (město. ± 1 rok),Image,,,,,Peking 1989,Tiananmen89.jpg
,9,Kdy a kde? (město. ± 1 rok),Image,,,,,Moskva 1993,Rus93.jpg
,10,Kdy a kde? (město. ± 1 rok),Image,,,,,Kyiv 2014,kyiv14.jpg
Kolo 6 - AZ kvíz,1,"Jak se jmenuje slavná divadelní hra irského dramatika George Bernarda Shawa, podle které později vznikl muzikál My Fair Lady?",Image,,,,,Pygmalion,hexagon-P.png
,2,"Jak se nazývá věda, která zkoumá jazyk, literaturu a ústní lidovou slovesnost národa v daném kulturním a historickém kontextu?",Image,,,,,Filologie,hexagon-F.png
,3,"Který vzácný plyn, jehož název z řečtiny v překladu znamená „skrytý“, má chemickou značku Kr?",Image,,,,,Krypton,hexagon-K.png
,4,"Jaké je příjmení francouzského prokletého básníka, který v 19. století způsobil skandál svou sbírkou Květy zla?",Image,,,,,Baudelaire,hexagon-B.png
,5,"Jaká mytologická bytost s tělem lva a ženskou hlavou hlídala vchod do starověkých Théb a zabíjela ty, kdo neuhodli její hádanku?",Image,,,,,Sfinga,hexagon-S.png
,6,"Jak se nazývá chemicko-technologický proces, při kterém se surový přírodní kaučuk mění na pružnou pryž (gumu) přidáním síry a působením tepla?",Image,,,,,Vulkanizace,hexagon-V.png
,7,"Jaké bylo příjmení jihoafrického bojovníka proti apartheidu, který strávil 27 let ve vězení, než se stal prvním černošským prezidentem své země?",Image,,,,,Mandela,hexagon-M.png
,8,"Strom z čeledi borovicovitých, rozšířený hlavně ve Středomoří, dosahuje vysokého stáří a je ceněn pro lehké, měkké a vonné dřevo. Je národním stromem Libanonu a nachází se na jeho státním znaku i vlajce. O který strom se jedná??",Image,,,,,Cedr,hexagon-C.png
,9,"Jaké čestné jméno, znamenající „Vznešený“, přijal první římský císař Gaius Octavius po svém upevnění moci?",Image,,,,,Augustus,hexagon-A.png
,10,Jak se odborně (cizím slovem) nazývá nažloutlá tělní tekutina – česky míza – která koluje ve vlastních cévách a má klíčový význam pro imunitu?,Image,,,,,Lymfa,hexagon-L.png
Kolo X - TEST,1,Example Q1,ABCD,A,B,C,D,A,
,2,Example Q2,Yes/No,,,,,Yes,
,3,Example Q3,Written,Název,,,,Eiffel Tower,
,4,Example Q4,Numeric,Číslo,,,,8,
,5,Kolik lidí ma klobouk,PImage,,,,,Eiffel Tower,zkouskove.jpg
,6,Kdo dal gól,PVideo,,,,,B,video.mp4
,7,Co je na obrázku,Image,,,,,Eiffel Tower,zkouskove.jpg
,8,Co je to za znělku,Audio,,,,,Eiffel Tower,audio.m4a
,9,Co je na videu,Video,,,,,Eiffel Tower,video.mp4
,10,Example Q10,Written,,,,,Eiffel Tower,
